Sample,X(ms) [09.03.2026 23:20:33 132 UTC],"Pallet sensor (front)[%I2.2]","Pallet Loading sensor[%I2.0]","MEDSM_Load Sensor[%I2.1]","Pallet Belt +[%Q5.2]"
457,1773098462600.115900,0,0,0,0
458,1773098462661.466700,0,0,0,0
459,1773098462725.982600,0,0,0,0
460,1773098462790.147100,0,0,0,0
461,1773098462854.578200,0,0,0,0
462,1773098462919.116600,1,1,1,0
463,1773098462983.781200,1,1,1,0
464,1773098463050.371700,1,1,1,0
465,1773098463112.363100,0,0,0,0
466,1773098463178.551200,0,0,0,0
467,1773098463241.663000,0,0,0,0
468,1773098463305.514500,0,0,0,0
469,1773098463370.379200,0,0,0,0
470,1773098463435.313200,0,0,0,0
471,1773098463499.415900,0,0,0,0
472,1773098463564.102300,0,0,0,0
473,1773098463629.518300,0,0,0,0
474,1773098463693.573900,0,0,0,0
475,1773098463757.344900,0,0,0,0
476,1773098463821.352400,0,0,0,0
477,1773098463885.875200,0,0,0,0
478,1773098463950.653800,0,0,0,0
479,1773098464016.960300,0,0,0,0
480,1773098464080.005200,0,0,0,0
481,1773098464144.344800,0,0,0,0
482,1773098464208.294200,1,1,1,0
483,1773098464272.167600,1,1,1,0
484,1773098464337.229500,0,0,0,0
485,1773098464402.287800,0,0,0,0
486,1773098464469.162900,0,0,0,0
487,1773098464530.500600,0,0,0,0
488,1773098464596.250800,0,0,0,0
489,1773098464659.466400,0,0,0,0
490,1773098464724.287600,0,0,0,0
491,1773098464787.842200,0,0,0,0
492,1773098464852.771400,0,0,0,0
493,1773098464917.480100,0,0,0,0
494,1773098464983.536100,0,0,0,0
495,1773098465045.799900,0,0,0,0
496,1773098465111.288500,0,0,0,0
497,1773098465175.263700,0,0,0,0
498,1773098465239.054200,0,0,0,0
499,1773098465303.521700,0,0,0,0
500,1773098465368.651400,1,1,1,0
501,1773098465434.956400,1,1,1,0
502,1773098465497.924900,0,0,0,0
503,1773098465564.055400,0,0,0,0
504,1773098465626.508800,0,0,0,0
505,1773098465690.588200,0,0,0,0
506,1773098465756.233100,0,0,0,0
507,1773098465820.063400,0,0,0,0
508,1773098465884.134400,0,0,0,0
509,1773098465950.763000,0,0,0,0
510,1773098466013.053500,0,0,0,0
511,1773098466077.715900,0,0,0,0
512,1773098466142.273500,0,0,0,0
513,1773098466205.778300,0,0,0,0
514,1773098466271.118900,0,0,0,0
515,1773098466335.751600,0,0,0,0
516,1773098466401.901100,0,0,0,0
517,1773098466464.076900,0,0,0,0
518,1773098466528.784300,0,0,0,0
519,1773098466592.857300,1,1,1,0
520,1773098466657.276900,1,1,1,0
521,1773098466721.656500,1,1,1,0
522,1773098466786.583200,1,1,1,1
523,1773098466853.320500,1,1,1,1
524,1773098466915.151800,0,0,0,1
525,1773098466979.839200,0,0,0,1
526,1773098467044.084700,0,0,0,1
527,1773098467108.633000,0,0,0,1
528,1773098467173.050500,0,0,0,1
529,1773098467238.484100,0,0,0,1
530,1773098467302.126700,0,0,0,1
531,1773098467370.856900,0,0,0,1
532,1773098467431.245600,0,0,0,1
533,1773098467495.324700,0,0,0,1
534,1773098467559.602000,0,0,0,1
535,1773098467624.251700,0,0,0,1
536,1773098467689.398600,0,0,0,1
537,1773098467752.988400,1,1,1,1
538,1773098467819.714800,1,1,1,1
539,1773098467882.035500,0,0,0,1
540,1773098467947.017800,0,0,0,1
541,1773098468010.786600,0,0,0,1
542,1773098468074.889300,0,0,0,1
543,1773098468140.041900,0,0,0,1
544,1773098468206.571800,0,0,0,1
545,1773098468271.219400,0,0,0,1
546,1773098468333.332600,0,0,0,1
547,1773098468397.693500,0,0,0,1
548,1773098468463.419300,0,0,0,1
549,1773098468526.257100,0,0,0,1
550,1773098468591.189000,0,0,0,1
551,1773098468657.527600,0,0,0,1
552,1773098468720.015100,0,0,0,1
553,1773098468785.815600,0,0,0,1
554,1773098468848.402800,0,0,0,1
555,1773098468912.930800,1,1,1,1
556,1773098468977.951500,1,1,1,1
557,1773098469042.510300,1,1,1,1
558,1773098469107.209700,0,0,0,1
559,1773098469173.002000,0,0,0,1
560,1773098469235.809200,0,0,0,1
561,1773098469300.128200,0,0,0,1
562,1773098469364.678700,0,0,0,1
563,1773098469429.729900,0,0,0,1
564,1773098469493.027500,0,0,0,1
565,1773098469558.397800,0,0,0,1
566,1773098469622.117000,0,0,0,1
567,1773098469689.610800,0,0,0,1
568,1773098469751.006900,0,0,0,1
569,1773098469815.496100,0,0,0,1
570,1773098469881.391200,0,0,0,1
571,1773098469945.149300,0,0,0,1
572,1773098470009.553300,0,0,0,1
573,1773098470073.666500,0,0,0,1
574,1773098470141.142700,0,0,0,1
575,1773098470202.521000,1,1,1,1
576,1773098470266.974400,1,1,1,1
577,1773098470331.456900,0,0,0,1
578,1773098470395.849700,0,0,0,1
579,1773098470462.913000,0,0,0,1
580,1773098470529.772400,0,0,0,1
581,1773098470589.951000,0,0,0,1
582,1773098470653.672100,0,0,0,1
583,1773098470718.182600,0,0,0,1
584,1773098470782.174300,0,0,0,1
585,1773098470846.845900,0,0,0,0
586,1773098470912.406600,0,0,0,0
587,1773098470978.796100,0,0,0,0
588,1773098471040.714300,0,0,0,0
589,1773098471105.707500,0,0,0,0
590,1773098471170.052700,0,0,0,0
591,1773098471234.258400,0,0,0,0
592,1773098471298.895400,0,0,0,0
593,1773098471363.571400,1,1,1,0
594,1773098471428.118200,1,1,1,0
595,1773098471492.292300,0,0,0,0
596,1773098471556.772500,0,0,0,0
597,1773098471623.421600,0,0,0,0
598,1773098471687.494000,0,0,0,0
599,1773098471750.333100,0,0,0,0
600,1773098471815.390200,0,0,0,0
601,1773098471878.839900,0,0,0,0
602,1773098471945.869800,0,0,0,0
603,1773098472008.066900,0,0,0,0
604,1773098472072.564800,0,0,0,0
605,1773098472138.841000,0,0,0,0
606,1773098472201.419900,0,0,0,0
607,1773098472266.972900,0,0,0,0
608,1773098472329.970600,0,0,0,0
609,1773098472394.236700,0,0,0,0
610,1773098472459.446600,1,1,1,0
611,1773098472524.569000,1,1,1,0
612,1773098472588.820700,1,1,1,0
613,1773098472655.005800,1,1,1,0
614,1773098472717.436800,0,0,0,0
615,1773098472782.435400,0,0,0,0
616,1773098472845.855300,0,0,0,0
617,1773098472910.343900,0,0,0,0
618,1773098472975.237100,0,0,0,0
619,1773098473041.045300,0,0,0,0
620,1773098473106.456200,0,0,0,0
621,1773098473169.698900,0,0,0,0
622,1773098473232.782000,0,0,0,0
623,1773098473296.907900,0,0,0,0
624,1773098473361.639300,0,0,0,0
625,1773098473426.250500,0,0,0,0
626,1773098473490.615200,0,0,0,0
627,1773098473556.849000,1,1,1,0
628,1773098473619.171100,0,0,0,0
629,1773098473685.074600,1,1,1,0
630,1773098473747.877600,0,0,0,0
631,1773098473812.137900,0,0,0,0
632,1773098473876.855000,0,0,0,0
633,1773098473943.845900,0,0,0,0
634,1773098474005.762800,0,0,0,0
635,1773098474071.273900,0,0,0,0
636,1773098474134.931900,0,0,0,0
637,1773098474199.450300,0,0,0,0
638,1773098474263.504600,0,0,0,0
639,1773098474328.649100,0,0,0,0
640,1773098474393.044700,0,0,0,0
641,1773098474457.676500,0,0,0,0
642,1773098474524.659800,0,0,0,0
643,1773098474586.492600,0,0,0,0
644,1773098474651.428100,0,0,0,0
645,1773098474716.662500,0,0,0,0
646,1773098474780.078200,0,0,0,0
647,1773098474844.221200,0,0,0,0
648,1773098474908.851800,1,1,1,0
649,1773098474975.459400,1,1,1,0
650,1773098475038.008900,0,0,0,0
651,1773098475102.101200,0,0,0,0
652,1773098475167.030200,0,0,0,0
653,1773098475231.610600,0,0,0,0
654,1773098475295.335100,0,0,0,0
655,1773098475360.545600,0,0,0,0
656,1773098475427.423500,0,0,0,0
657,1773098475491.154600,0,0,0,0
658,1773098475555.589800,0,0,0,0
659,1773098475618.138700,0,0,0,0
660,1773098475682.482700,0,0,0,0
661,1773098475746.503600,0,0,0,0
662,1773098475811.578100,0,0,0,0
663,1773098475875.687200,0,0,0,0
664,1773098475941.955100,0,0,0,0
665,1773098476004.738200,0,0,0,0
666,1773098476070.529900,0,0,0,0
667,1773098476133.487300,1,1,1,0
668,1773098476198.087300,1,1,1,0
669,1773098476262.216500,0,0,0,0
670,1773098476327.296200,0,0,0,0
671,1773098476391.415700,0,0,0,0
672,1773098476459.032000,0,0,0,0
673,1773098476520.730500,0,0,0,0
674,1773098476584.708100,0,0,0,0
675,1773098476648.910000,0,0,0,0
676,1773098476713.580000,0,0,0,0
677,1773098476778.567300,0,0,0,0
678,1773098476844.908300,0,0,0,0
679,1773098476906.811400,0,0,0,0
680,1773098476972.684400,0,0,0,0
681,1773098477035.950600,0,0,0,0
682,1773098477100.096200,0,0,0,0
683,1773098477164.347300,0,0,0,0
684,1773098477229.661400,0,0,0,0
685,1773098477293.940100,0,0,0,0
686,1773098477358.744600,0,0,0,0
687,1773098477422.812600,1,1,1,0
688,1773098477487.309600,1,1,1,0
689,1773098477551.630200,0,0,0,0
690,1773098477615.563600,0,0,0,0
691,1773098477682.502700,0,0,0,0
692,1773098477744.974900,0,0,0,0
693,1773098477809.351100,0,0,0,0
694,1773098477873.960600,0,0,0,0
695,1773098477938.834300,0,0,0,0
696,1773098478002.840000,0,0,0,0
697,1773098478068.990200,0,0,0,0
698,1773098478132.498800,0,0,0,0
699,1773098478196.096800,0,0,0,0
700,1773098478260.461400,0,0,0,0
701,1773098478324.592900,0,0,0,0
702,1773098478390.533400,0,0,0,0
703,1773098478457.595700,1,1,1,1
704,1773098478518.128200,0,0,0,1
705,1773098478582.521300,0,0,0,1
706,1773098478647.377100,0,0,0,1
707,1773098478711.889300,0,0,0,1
708,1773098478775.826500,0,0,0,1
709,1773098478840.837100,0,0,0,1
710,1773098478907.637800,0,0,0,1
711,1773098478970.081100,0,0,0,1
