Sample,X(ms) [09.03.2026 23:32:18 281 UTC],"SP X_2[%QD48]","SP Y_2[%QD52]","SP Z_2[%QD56]","SP X_1[%QD36]","SP Y_1[%QD40]","SP Z_1[%QD44]","Box Weight[%ID32]"
502,1773099170416.556000,0,0,0,0,0,0,0
503,1773099170483.307100,0,0,0,0,0,0,0.0150497434660792
504,1773099170545.756300,0,0,0,0,0,0,0
505,1773099170610.039000,0,0,0,0,0,0,0
506,1773099170673.901400,0,0,0,0,0,0,0
507,1773099170738.820800,0,0,0,0,0,0,0
508,1773099170803.563600,0,0,0,0,0,0,0
509,1773099170868.074300,0,0,0,0,0,0,0
510,1773099170935.107200,0,0,0,0,0,0,0
511,1773099170997.281500,0,0,0,8.19999980926514,5.5,0,0
512,1773099171061.667200,0,0,0,8.19999980926514,5.5,0,0
513,1773099171127.159000,0,0,0,8.19999980926514,5.5,0,0
514,1773099171190.260100,0,0,0,8.19999980926514,5.5,0,0
515,1773099171254.633800,0,0,0,8.19999980926514,5.5,0,0
516,1773099171319.054600,0,0,0,8.19999980926514,5.5,0,0
517,1773099171385.856700,0,0,0,8.19999980926514,5.5,0,0
518,1773099171447.787500,0,0,0,8.19999980926514,5.5,0,0
519,1773099171513.171200,0,0,0,8.19999980926514,5.5,0,0
520,1773099171577.385400,0,0,0,8.19999980926514,5.5,0,0
521,1773099171640.942600,0,0,0,8.19999980926514,5.5,0,0.00777130108326674
522,1773099171705.566200,0,0,0,8.19999980926514,5.5,0,0
523,1773099171769.905600,0,0,0,8.19999980926514,5.5,0,0
524,1773099171836.675500,0,0,0,8.19999980926514,5.5,0,0
525,1773099171898.935300,0,0,0,8.19999980926514,5.5,0,0
